#,Address,BLOBZ,Points,snapshot_org,golden_blobz,silver_blobz,galxe_leaderboard,blobz_x_fwx,300_bitcoin,questn,gull_network,3960_jk,600_somdej,1000_lqdx,100_op,last_change_to_mint,blobz_invasion,get_golder_blobz,fwx_trading
90,0x5Cd6eC6C709990447EEa61040CAC9079e8247Af0,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0x5f203fF3A20c74bae3a723BfF8B34cDA33a52EB2,4772,21,5,2,2,1,3,0,5,1,0,0,0,0,0,0,1,1
90,0x73E9fc119F747a5B63A06F705fA5ab1a174B559D,4772,21,4,1,1,1,1,0,5,1,0,1,0,1,1,2,1,1
90,0x7415a096eC3D3fC08bCDFfa632DcbADb840a2286,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0x7bae01034704381D3f7B09D3C1F1FBd17D71Acb4,4772,21,5,2,2,1,1,0,5,0,0,1,0,0,0,2,1,1
90,0x7e77BD0e63ab0b9b0a1935Df2fDf8fBb85A228C0,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0x854759239C4B9d1803718F39Ca9b40860d78Cb76,4772,21,3,2,2,1,4,0,5,0,0,0,0,0,0,2,1,1
90,0xAEEc8893388B023956441C4e06D637904aaf182C,4772,21,1,2,2,1,3,0,5,1,0,1,0,0,1,2,1,1
90,0xAb69Ec70B0Fe3A0C9F83ABBeB70F5dBfbf8D99fd,4772,21,2,2,2,1,5,0,5,0,0,0,0,0,0,2,1,1
90,0xAec1028a1EfcC54Fd702A6fB409C27acb6f71041,4772,21,6,2,2,1,1,0,5,1,0,1,0,0,0,0,1,1
90,0xB388233Fc7f3391C41392545bccf0909E5cf4b41,4772,21,3,2,3,1,1,1,5,1,0,0,0,0,0,2,1,1
90,0xC2d118937292ed6614Cdef46ffE336E40731a7a8,4772,21,5,2,2,1,1,0,5,1,0,1,0,0,1,0,1,1
90,0xD779a7eDEcdd3841C48933bAefe6A29CA52DfA3C,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0xc036bd59C47207c52187D2d25195D9219d7789f8,4772,21,6,2,0,1,1,0,5,1,0,1,0,0,1,2,1,0
90,0xc9636B935FB6b3Ce48654a0009755D58F473c064,4772,21,6,0,0,1,5,1,5,0,0,0,0,0,1,2,0,0
90,0xcFea7E948C0215e46DA3327A8b505aC1C2CAE6D6,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0xdB75103d154F190734cBb4409d6Fe71169e2F7D3,4772,21,6,1,1,1,1,0,5,0,0,1,0,1,0,2,1,1
111,0x0Db489657188e35242B1F23cd7324bC4AFE3727d,4545,20,6,0,0,1,4,0,5,1,0,0,0,0,1,2,0,0
111,0x0EAeA94B84Ef62FA7E30624041051537561ea470,4545,20,4,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
111,0x163819612F2177b0C09900D8968Fec8F6222d29C,4545,20,3,2,2,1,2,0,5,1,0,0,0,0,0,2,1,1
111,0x170C2001B1f97945407714A0eBFe169F45B02E42,4545,20,6,2,2,1,2,0,5,0,0,0,0,0,0,0,1,1
111,0x268703Ed376f7Ef210bBa3A8C4bc7B75AD63C630,4545,20,4,2,2,1,1,0,5,0,0,1,0,0,0,2,1,1
111,0x2B39399cB22f7E2e7b450196f915817DFa6E976C,4545,20,4,1,1,1,1,0,5,1,0,0,0,1,1,2,1,1
111,0x30b33e450735Eb5A617C2a4B5C66323079730532,4545,20,5,1,1,1,1,0,5,1,0,1,0,0,0,2,1,1
111,0x323C52594De60819F2009d54dE7d7Ad8D4b1a8F2,4545,20,5,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
111,0x4FddD3ABCAf4eEE299D2CB877A1Cb026627066F5,4545,20,3,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
111,0x59CE4e774d7fd49B965041a9B3BEA7E2e107a027,4545,20,6,0,0,1,2,1,5,1,0,1,0,0,1,2,0,0
111,0x5cE84fdB8a13B1C6378291c993543ed4CfD4A831,4545,20,3,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
111,0x6a1FF2AaAab0837F940ED7471E16d84e8953A035,4545,20,5,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
111,0x80B21C49b2cB7b3D8956e028a7776DF7863f4538,4545,20,3,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
111,0x97AbAcf54bAD03f0Fdb5a9aFC6BC48826d2807Dd,4545,20,5,1,1,1,1,0,5,1,0,1,0,0,0,2,1,1
111,0x9aAEA1C9093Fd9524cE54E64aA8dac40c7957c81,4545,20,5,1,1,1,1,0,5,1,0,1,0,0,0,2,1,1
111,0x9dd711B0cB4430F429231E5Cb9940DBD1952a36f,4545,20,6,0,0,1,5,0,5,0,0,1,0,0,0,2,0,0
111,0xA1bF0B4dB89c0dE39d01d82Df30946BBB777497A,4545,20,6,1,1,1,1,0,5,1,0,0,0,0,0,2,1,1
111,0xAb58368030B5cCdab8eE94d5F1e626E75F546A3f,4545,20,5,1,1,1,1,0,5,1,0,1,0,0,0,2,1,1
111,0xCf826B96C2Fb888373A77c3d327b3F19aea01a21,4545,20,5,1,1,1,1,0,5,1,0,1,0,0,0,2,1,1
111,0xF33797902a452D02F06d6EEf1ADf7FCE89630678,4545,20,6,1,1,1,2,0,5,0,0,0,0,0,0,2,1,1
111,0xb1Ee654Fe244379FA80487eC0687E2cC16BCB435,4545,20,6,0,0,1,5,0,5,1,0,0,0,0,0,2,0,0
111,0xb4fe2ccDa14c4f4695B542c144a42b9d6008309f,4545,20,3,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
111,0xe2cA5521cAC74d2Bb2ce3e1fAD79A1e71eE5b95A,4545,20,2,2,2,1,3,0,5,1,0,0,0,0,0,2,1,1
134,0x00afE19B88a3f1e4187Ba3B87cC117346a019A7E,4317,19,3,2,2,1,1,0,5,0,0,0,0,0,1,2,1,1
134,0x032DaCAdA0834E3239662ED4A6EAF038260B6920,4317,19,5,1,1,1,1,0,5,1,0,0,0,0,0,2,1,1
134,0x0Be9cD8A94A328831B60a5245A154Ab23130E516,4317,19,6,0,0,1,2,0,5,1,0,1,0,0,1,2,0,0
134,0x0FB6B07c2E7e9EaDa6548b3DA9997A19A9658841,4317,19,2,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
134,0x38afAEdb78E2A0018860b06FE231292184CA14c3,4317,19,6,0,0,1,1,1,5,1,0,1,0,0,1,2,0,0
134,0x3A505722A21c66c3143BBA976Bb83Ac82AEBfB48,4317,19,6,0,0,1,2,0,5,1,0,1,0,0,1,2,0,0
134,0x3E68FCA5b47bF0510DEBB0fa95d51c54B032A1C8,4317,19,6,0,0,1,1,1,5,1,0,0,0,1,1,2,0,0
134,0x3bae0F9811fB3869267CaFf8B5a1bAF00a352935,4317,19,2,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
134,0x4061cD993072CC4Ecd092beac12F2965dE04ff72,4317,19,4,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
134,0x45a1FE688c01CCfd4606aC31D1F7b10FE2aa875e,4317,19,6,0,0,1,1,1,5,1,0,1,0,1,0,2,0,0
134,0x47400da4c778655E7E8b4c72557289321Dff098d,4317,19,4,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
134,0x4913CFF514B8F77b0F1e89507E6CA835eFcd68f3,4317,19,2,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
134,0x4b97bE965B38c20b7e6C78c1234aC7E13fC2C5ee,4317,19,3,2,2,1,1,1,5,0,0,0,0,0,0,2,1,1
134,0x4f1A185c97e6CBE4AD6Df11342B7FfE71818ccBf,4317,19,4,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
134,0x4fc0e1BaFd06f57aE67c0145d50619Aeae946986,4317,19,6,0,0,1,1,0,5,1,1,1,0,1,0,2,0,0
134,0x525132158d6966AD6BA7b729295a73616a8A06a8,4317,19,4,0,0,1,4,1,5,1,0,1,0,0,0,2,0,0
134,0x54B4B93E56a0C65B93CfDdb7327441661319ca51,4317,19,4,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
134,0x593B0c00078A741eB440c7B9Dde999bdD40Aa1F9,4317,19,6,0,0,1,1,0,5,1,1,1,0,0,1,2,0,0
134,0x61edBB3fe3d835b48a770fCBDedC1F988Dd53F82,4317,19,6,0,0,1,4,0,5,0,0,0,0,0,1,2,0,0
134,0x6b15dfffa58442f2F198F4C0a9E2525D4E53E206,4317,19,4,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
134,0x7c84Bf06d5a2d5D7f5d08045340334c73ac0Ee59,4317,19,6,2,0,1,1,0,5,1,0,0,0,0,0,2,1,0
134,0x7ec9932e7De1Ca2dC93A4EdF382ddF2e5D50a1E3,4317,19,5,1,1,1,1,0,5,0,0,0,0,0,1,2,1,1
134,0x8C58C739cc456091C0D1CeE900988059b32F4b19,4317,19,4,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
134,0x91bf28E62b7752097aFc4aF2FdbD27d0B41f778f,4317,19,6,0,0,1,1,1,5,1,0,1,0,0,1,2,0,0
134,0x9C88367275f6eA7d8F0b9416Ee927D22d9Ff7D28,4317,19,6,0,0,1,1,0,5,1,0,1,0,1,1,2,0,0
134,0xA12E8b11eD7a5Eb91085c1ca5F8cFD6BE3d26F31,4317,19,4,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
134,0xAE1c825eC8fD25f117FFE8Ef6d3eAd6fcbc6469E,4317,19,6,0,0,1,1,1,5,1,0,1,0,0,1,2,0,0
134,0xAefCDA6b2cF4EcC7A7E07099C79a729a7c8b91f7,4317,19,3,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
134,0xB1AC95A15aB91E6746DDf1c1735F8E524aad8D19,4317,19,5,2,1,1,1,0,5,0,0,0,0,0,0,2,1,1
